100000 200000 
31840 38240 262
29697 5413 673
20702 8327 121
26834 22594 175
3339 48141 47
43772 4912 35
87093 87095 1
60933 60934 0
28786 27221 592
36998 5802 561
14014 1069 212
34471 1612 547
21304 4135 906
85 76 640
19102 19786 68
31786 13483 988
19809 17520 104
33707 30084 7
10870 34153 298
34443 21511 820
22348 31234 62
14458 288 90
46884 14411 455
40501 32798 738
87825 87826 0
31053 3171 370
49463 23343 548
22937 30640 328
26457 26336 91
56429 56431 1
14147 32552 215
69995 69997 1
18058 3473 19
94900 2 5088
33365 8162 679
45179 19147 570
1765 38119 563
17894 40798 310
33180 37091 784
47984 18323 354
12141 36135 76
31188 41613 776
96154 2 3834
37334 8348 723
93219 93220 0
30975 37182 995
64187 64189 1
59589 59590 0
25722 5926 524
3580 33091 189
28992 38883 275
38969 16644 77
6036 12856 993
27355 38477 632
19417 9676 8
42234 37359 771
31792 47743 704
83266 2 16722
19549 33646 88
83952 2 16036
44395 27489 642
96422 2 3566
45915 25044 962
48918 11412 351
46125 10405 158
19922 29302 192
42455 7484 306
39697 89 243
5562 36440 234
40832 10424 209
45553 44201 601
8301 23945 563
10021 39665 872
3229 16824 784
46516 4791 554
8969 43460 403
16234 48231 212
48231 29116 978
2 24041 903
14723 32703 197
19736 30313 310
1838 10317 904
32996 14520 422
34452 45511 793
30391 7204 233
20921 17184 400
23529 41166 160
12062 1139 111
32119 14918 33
90081 90083 1
31794 18665 522
12612 36532 828
14486 14383 587
12165 18121 532
15074 3698 179
5733 43034 566
8853 30746 143
23485 16345 636
19094 31597 989
45308 48784 306
14433 7414 55
771 13276 56
25848 25084 940
36950 35373 994
37178 26269 471
23473 16561 62
22508 14609 521
37538 33405 35
20454 11987 471
16249 49980 870
15959 47877 790
18410 47172 270
16670 10551 266
41092 35174 69
47488 24278 880
39906 42234 322
84708 2 15280
11826 49945 17
41784 49959 855
2 44762 785
15573 11916 584
47868 23502 870
19265 49641 292
2424 29826 773
93193 93195 1
31717 14163 423
38363 49029 723
19733 48717 950
6124 21955 898
39379 46298 859
39112 13770 876
39210 45273 509
11950 28278 540
14668 6181 687
337 27780 225
2 40068 569
12937 2130 816
30953 37097 16
443 38782 555
13697 27390 188
35433 25813 884
86589 86591 1
3842 42897 801
44999 36170 614
30602 30334 510
31552 6800 941
60365 60367 1
6222 30204 30
33854 23664 830
16078 3997 512
15340 42667 853
442 6299 394
18827 39098 382
3412 31134 461
98791 98792 0
9287 40841 882
13969 26357 914
99759 99761 1
3077 33498 582
28340 40430 891
47969 42479 210
22301 37976 585
35482 41858 172
11106 2150 798
22728 6950 720
25046 42533 558
19800 21940 284
39827 25956 921
73857 73859 1
34941 3377 721
38109 12251 43
7312 43536 713
93745 93747 1
34876 41107 751
25216 36260 683
12329 6909 164
48627 19965 985
18790 39737 960
36566 20263 605
2663 41903 455
39758 40487 364
97713 97714 0
1824 28888 604
22137 49655 270
30885 39793 453
91747 91748 0
23509 43802 287
45445 41125 101
37157 2608 74
3034 41025 414
9728 28319 652
45654 22670 329
21894 21224 567
10250 17287 117
96803 96804 0
81341 81343 1
21584 4704 964
5080 18495 28
11978 21998 641
47508 35989 941
41626 42873 473
28743 45234 599
12655 13870 285
2414 24426 34
35559 40313 280
11736 26004 964
12961 37736 221
87905 87906 0
1688 6622 405
41901 30763 654
37125 20869 187
25722 31023 981
30347 43799 320
25621 12641 130
38247 22095 515
31543 45891 555
28393 12456 949
5844 24200 483
2942 35024 334
33778 41570 677
8141 33709 753
32894 24178 994
2 32419 1426
95341 95342 0
38547 35284 543
36081 49627 609
45925 3610 171
24702 44305 421
9858 22301 273
17503 7053 537
39272 26157 704
3235 29498 580
92955 92957 1
36947 68 134
35201 26447 489
7473 14672 26
38780 39102 639
30139 42496 736
43086 19857 618
14483 40815 750
7312 13375 781
43026 18620 930
21310 33784 993
47749 2801 451
523 32960 377
27865 48026 598
75865 75866 0
14457 43811 24
49415 23276 825
17520 46171 851
34850 46406 766
32951 48104 675
15024 35044 690
91893 91894 0
23587 38528 262
44351 48839 446
17932 19203 194
36456 22773 640
36167 5798 688
49177 17746 19
36445 39407 188
30792 46890 2
2417 31218 762
24739 33094 871
42434 35270 508
47294 15725 215
36900 13009 857
24988 26596 827
33757 40901 535
47986 11154 650
7531 47976 378
13081 35995 798
4255 8136 532
21467 13790 648
9385 19304 267
9977 29266 767
17571 44157 616
33278 11164 523
66625 66626 0
37088 29688 645
18488 22462 531
39703 47152 847
12309 22855 593
45841 1351 301
23024 24967 37
38385 23421 804
18812 5464 841
18487 27267 297
34796 987 679
5237 36443 643
31966 40396 7
12016 12880 111
27280 12996 125
15124 39270 493
23310 21568 632
16596 29185 819
27663 39968 75
46026 40228 936
70329 70331 1
72699 72700 0
25659 4425 964
8566 48058 129
18817 8865 789
5934 22364 65
25550 20142 978
1191 14830 297
11190 1323 693
36061 12121 7
8505 16186 837
9531 40196 380
40764 33284 964
22212 48327 704
46612 37429 889
45084 26147 750
23645 3819 710
6944 23295 884
35430 9515 378
2596 17603 19
45728 37875 1
98147 98148 0
34076 49739 639
1449 30772 357
8654 17288 408
42257 47160 372
27491 35570 642
97824 2 2164
14373 44394 614
23864 38970 545
49749 10221 319
29694 47359 567
35547 22216 120
46405 23868 245
14905 31357 867
39103 10781 268
42644 3458 403
24249 14304 213
46341 23009 87
97139 97141 1
37670 41393 921
1078 40543 613
8718 31443 619
54694 2 45294
19040 1945 450
24732 23311 30
46264 28784 228
41188 9372 978
473 28855 804
18185 36930 380
20134 3010 457
5070 5655 432
6354 2720 106
13361 18568 614
31004 4371 552
45781 2059 557
13032 15491 648
30818 3006 450
96610 2 3378
25196 45041 891
19098 33481 684
7829 39686 881
5674 46894 56
41820 49297 19
45079 24632 116
14967 43792 194
25314 30123 96
37395 16326 334
24353 10218 334
72804 2 27184
13731 49307 602
84975 84976 0
3515 34981 195
4743 33707 941
49168 4822 512
41086 447 68
8252 21207 599
25528 42664 508
7245 46680 586
13909 27257 733
26056 15388 21
34160 21475 502
2569 27117 529
92859 92861 1
10961 48103 536
98253 98254 0
34547 42218 238
19704 22658 161
40329 13124 415
12963 7141 769
32567 17582 258
36865 10273 579
32910 2575 955
6402 11596 550
425 20719 867
19029 49582 502
7213 33010 731
39571 1979 32
1428 36511 387
22292 29317 353
18358 18250 996
91578 2 8410
12234 12930 468
39158 10777 833
32532 13699 919
37517 48526 920
2 47927 1185
17948 35795 564
23649 24643 694
13301 16670 131
29031 23446 674
29860 28455 444
4896 210 951
5256 46863 262
13389 21079 606
22703 10688 252
38232 19251 447
5072 46656 667
972 25930 668
39258 8807 260
34159 1767 4
13300 33545 879
27589 14695 188
10429 42257 961
85794 2 14194
36852 32914 468
38554 17852 207
29779 16986 921
1698 9898 2
35371 32750 52
83331 83333 1
48017 8620 702
27345 37018 532
39804 16253 86
86509 86510 0
44029 485 725
43029 44676 102
11965 20026 71
98795 98797 1
11842 28059 246
1261 4747 721
10590 5965 477
17868 17049 785
22461 36798 16
38132 22805 11
48597 37764 392
40893 8881 984
86447 86449 1
11041 3536 648
20070 35107 309
20532 43098 300
29072 30480 745
29299 25800 495
1195 13768 743
4372 26856 41
16978 20776 50
29779 16487 408
40514 26129 393
2041 48375 300
37449 35309 466
7176 27603 120
33744 21600 632
5596 5977 492
35568 33698 204
2 18983 775
41309 41224 399
14463 47663 653
28723 22906 415
1925 8108 832
34688 14198 199
23632 31879 253
98619 98620 0
23373 8871 475
13943 18184 106
3645 36776 953
20923 23010 492
38154 43601 290
998 23788 429
35190 32878 135
31630 19977 884
37750 33529 775
44562 15663 972
26084 41977 112
41644 21609 77
2356 32054 935
49810 2115 634
49639 49047 257
18050 39873 852
48473 8654 524
1083 24831 760
49693 45513 311
27554 5822 638
38249 21635 956
93424 2 6564
18579 35993 219
24660 23241 818
25401 8510 407
6302 27224 751
11741 3992 409
25481 21076 576
15138 28510 364
6258 47760 101
41241 16529 508
25606 15655 722
95419 95420 0
31978 11280 818
35372 2085 510
10507 14139 887
36050 26562 282
3833 22453 418
18488 21068 300
4383 30884 703
2 36708 877
1921 18158 25
35604 34357 276
20140 12045 220
90568 2 9420
26862 19955 387
43880 11692 426
21112 11910 723
16556 6945 793
30700 27465 701
38526 32884 55
8783 30887 389
27727 22019 401
36356 46482 64
40993 29170 483
8997 49710 906
43976 29122 539
31605 43516 983
14139 11983 877
71040 2 28948
99829 99830 0
